"location_name","Female","Male"
"Afghanistan",7.78814039502012,11.1231988356601
"Albania",0.928464751218246,0.259488076199898
"Algeria",0.509167665410453,1.05332058353627
"American Samoa",0.223511351211781,0.196357521850967
"Andean Latin America",0.569328840719063,0.662411260799877
"Andorra",0.217785904953001,0.0991376337872094
"Angola",1.78797910524279,1.31754430032161
"Antigua and Barbuda",1.23458521043409,1.40514903828768
"Argentina",0.152848856822189,0.224379222301194
"Armenia",-0.0212445656663548,-0.0799155523266095
"Australasia",-0.21558229324096,-0.25039159739425
"Australia",-0.204281099766015,-0.258580708289836
"Austria",0.0422336589774623,-0.00710937894272812
"Azerbaijan",1.02436895513432,0.732679447024145
"Bahamas",0.422865576824961,0.658047102722666
"Bahrain",1.94818868845555,2.66271379074025
"Bangladesh",0.795472411180577,0.652956054222287
"Barbados",0.0556170385150483,0.0332918112018037
"Belarus",0.124069170088225,-0.0578233289592648
"Belgium",-0.187735490977462,-0.318560859228703
"Belize",1.99421465149343,1.77913681333005
"Benin",0.534142710346318,0.673775131533738
"Bermuda",0.0364627845063445,0.06983059087709
"Bhutan",0.435257009433038,0.23059964140337
"Bolivia (Plurinational State of)",1.10823092843313,1.10295146728316
"Bosnia and Herzegovina",0.0815247990506187,-0.0829445462500991
"Botswana",0.787406170144431,1.35273158876122
"Brazil",-0.556219536317329,-0.517837384478474
"Brunei Darussalam",0.505969183216221,0.316694428035812
"Bulgaria",-0.369936316115257,-0.35450658863869
"Burkina Faso",0.685051944825464,0.957181612106738
"Burundi",0.408445313913356,0.450512528668957
"Cabo Verde",0.29533184362651,0.451575602223985
"Cambodia",0.955640373534121,0.908057464104209
"Cameroon",1.35437313457062,1.09930869622645
"Canada",-0.298796649460171,-0.294671274957845
"Caribbean",-0.0260512489797408,0.0746261230229204
"Central African Republic",0.471275287678722,0.496907081757903
"Central Asia",0.442019503088681,0.390732919250963
"Central Europe",-0.122862339580122,-0.25317490787016
"Central Europe, Eastern Europe, and Central Asia",0.00653696736184783,-0.149970999889561
"Central Latin America",0.0539040402982827,0.0782373547672033
"Central Sub-Saharan Africa",1.37532389266853,1.39505767837565
"Chad",0.643797978396544,0.870789866367261
"Chile",0.225334768593525,0.284235982266082
"China",0.430062329932685,0.20880541379008
"Colombia",0.131271240859986,-0.230074617102352
"Comoros",0.70327466994687,0.714602599164366
"Congo",1.87824354521475,2.36886393572713
"Cook Islands",0.054928312480685,-0.115542388836751
"Costa Rica",-0.0594388972359111,-0.0110309201985342
"C̫te d'Ivoire",1.43934735990241,1.65588424722282
"Croatia",-0.237073220249573,-0.277922649732755
"Cuba",-0.202890333877684,-0.0977174642676047
"Cyprus",0.682301142847781,0.746183556243208
"Czechia",-0.206448381363292,-0.168976486613119
"Democratic People's Republic of Korea",0.588132030421559,0.494541514587047
"Democratic Republic of the Congo",1.18026169892346,1.40454016783879
"Denmark",-0.445060101886388,-0.426235463350456
"Djibouti",2.5254863904721,2.63454678316468
"Dominica",-0.0784468369636983,0.086869716575259
"Dominican Republic",0.549207262880027,0.887857704890496
"East Asia",0.415553873747819,0.21074686662294
"Eastern Europe",0.120645591099461,-0.198990652978331
"Eastern Sub-Saharan Africa",0.985468559065716,0.794388437976972
"Ecuador",0.754052294857266,0.994335942874351
"Egypt",0.918235938145458,1.36625637780227
"El Salvador",1.00440097904551,0.741399805218625
"Equatorial Guinea",2.35876560427993,3.55589719463058
"Eritrea",0.937014406533619,1.08602396346223
"Estonia",-0.26419250786606,-0.362011794536144
"Eswatini",0.28647129561446,0.298487945510406
"Ethiopia",1.12399519024039,0.958078528530422
"Fiji",0.0466315334930811,0.167480576203829
"Finland",-0.280000374302242,-0.226327662739798
"France",0.109178855695185,-0.108491809564108
"Gabon",1.62581555470524,1.33822917191821
"Gambia",0.852321308799696,0.674809385923603
"Georgia",-0.287608674907322,-0.256458114545155
"Germany",-0.164999578096648,-0.162722960679697
"Ghana",1.71239907082125,1.26323573336645
"Global",0.0272380605846083,0.183558684349463
"Greece",0.0631764964327746,-0.176651339266879
"Greenland",0.0189247847869716,-0.139073034114739
"Grenada",0.462852461486905,0.831224206457353
"Guam",0.166506813977599,-0.00164259516238197
"Guatemala",1.76648323196443,1.34354726347108
"Guinea",0.921805253483479,0.853500890324808
"Guinea-Bissau",1.09998096139987,1.51729229556099
"Guyana",0.0345669705450642,0.223807495044787
"Haiti",0.174972595452436,0.218393872538644
"High-income",-0.156039940709792,-0.188281582557914
"High-income Asia Pacific",-0.204100952000477,-0.291886746021746
"High-income North America",-0.201634014938597,-0.104281140076866
"Honduras",1.45415932324255,1.02183536331309
"Hungary",-0.236759600532271,-0.24833245515273
"Iceland",-0.266216149308148,-0.297546623689763
"India",0.393348236665306,0.149795816484088
"Indonesia",0.950745348657693,0.837810441764155
"Iran (Islamic Republic of)",1.29407420479645,1.26383517969012
"Iraq",1.40055936323218,1.52948355454908
"Ireland",0.0170869295473695,-0.129346028792499
"Israel",0.140420762923598,0.289465069608305
"Italy",-0.254406657832451,-0.290573391847872
"Jamaica",0.113143778526659,0.119876496412431
"Japan",-0.253146057800968,-0.41437014440734
"Jordan",3.10414886747098,3.51649457855534
"Kazakhstan",0.200351379482249,0.039991438981213
"Kenya",0.720729853654869,0.682904389762954
"Kiribati",0.779882300097515,0.8055377283069
"Kuwait",1.86771267121728,1.20021162564514
"Kyrgyzstan",1.40577301688833,0.538262691647663
"Lao People's Democratic Republic",1.71542698271583,1.48756158178439
"Latin America and Caribbean",-0.281424327437674,-0.151615815914994
"Latvia",-0.328446527369867,-0.353539172767024
"Lebanon",1.88803406300102,1.32117436910104
"Lesotho",0.305037221181111,0.912692187256852
"Liberia",1.86570179530391,1.46358943605662
"Libya",1.11580938293912,1.31769570286972
"Lithuania",-0.0691068451011959,-0.352709412433471
"Luxembourg",0.102966020909659,0.114617999303326
"Madagascar",0.519687485993057,0.569473335303597
"Malawi",0.844219919749398,1.0053008499517
"Malaysia",0.515522490646701,0.727926066004502
"Maldives",1.57260216031131,3.25048377170625
"Mali",2.33013014259697,2.23096018045695
"Malta",-0.0427163007043172,-0.19402676204809
"Marshall Islands",1.09623943504256,0.631521596297417
"Mauritania",0.848053450003589,0.612067447473134
"Mauritius",0.173157453052044,0.159144951827221
"Mexico",-0.0890964412998428,0.0440658763594799
"Micronesia (Federated States of)",0.399591449989891,0.283166832115734
"Monaco",-0.0785314181935786,-0.109519416093141
"Mongolia",2.14643818573106,1.20470896502312
"Montenegro",0.0966651362257704,0.0168600646670116
"Morocco",0.110086661014491,0.197985630925666
"Mozambique",1.06298699262223,1.07881284360515
"Myanmar",0.00743063557055246,0.051328259869508
"Namibia",0.495706261410029,0.543828282990998
"Nauru",0.0913781297957053,0.0678578477731289
"Nepal",-0.030034001862791,0.16556090232936
"Netherlands",-0.390776242440011,-0.352559551525574
"New Zealand",-0.270176808476853,-0.204711260096624
"Nicaragua",0.706615402600918,0.655117990970203
"Niger",2.3167339459306,2.05141486533686
"Nigeria",0.296125461490125,0.253731020948821
"Niue",-0.184688945431091,-0.212229478955581
"North Africa and Middle East",1.08202358861374,1.03476221594484
"North Macedonia",0.206275931556096,0.213936133066347
"Northern Mariana Islands",-0.162357060403983,-0.164204396719185
"Norway",-0.467779682249927,-0.359147107057166
"Oceania",0.831894277759511,0.882238669898261
"Oman",1.62119602123905,1.68388637554522
"Pakistan",0.427990411464444,0.294424557064704
"Palau",0.0821211243469928,0.311710502518733
"Palestine",1.97478311141631,1.85647504802567
"Panama",0.167492708140678,0.186394348695041
"Papua New Guinea",1.02049104280864,1.11240702286437
"Paraguay",0.24613950083461,0.291920821686595
"Peru",0.290267430052228,0.150405424990272
"Philippines",0.369055666998562,0.474096852381542
"Poland",-0.107384469454305,-0.338799085794569
"Portugal",0.312047027914342,-0.148546932923658
"Puerto Rico",-0.0919101326890364,-0.146219407533941
"Qatar",4.22343831247928,6.41978593891598
"Republic of Korea",0.0528709394102564,0.0450515993415803
"Republic of Moldova",-0.0469736198697045,-0.00508545898111901
"Romania",-0.111523450331348,-0.306335217602591
"Russian Federation",0.296585063432704,-0.148152244555972
"Rwanda",1.07147709400818,1.05536800012104
"Saint Kitts and Nevis",0.822562780608024,1.00636643630941
"Saint Lucia",0.294362547856613,0.556425623188457
"Saint Vincent and the Grenadines",0.0983674422309613,0.23803945427181
"Samoa",0.267528108846706,0.284915976043086
"San Marino",-0.0783467809854362,-0.210182303439595
"Sao Tome and Principe",1.19664034564965,1.82540896746964
"Saudi Arabia",3.23609187566288,3.44101363001828
"Senegal",0.305515499503396,0.0789056164390924
"Serbia",0.109645131287275,-0.11220429319043
"Seychelles",0.302617346812629,0.564595208998844
"Sierra Leone",0.727053534613333,1.10303941422693
"Singapore",0.218738468466136,0.419259932409328
"Slovakia",-0.112675939094887,-0.126662010094294
"Slovenia",0.086777719381391,-0.0702864206279695
"Solomon Islands",1.32729874415452,1.19737616920041
"Somalia",1.25217237658292,1.43568753479712
"South Africa",0.0818297374900219,0.361365948697431
"South Asia",0.374409479375471,0.221947016754904
"South Sudan",0.500034867977966,0.166805120549711
"Southeast Asia",0.376034850611682,0.564637311064432
"Southeast Asia, East Asia, and Oceania",0.409337073200103,0.29206436723017
"Southern Latin America",0.166497280940732,0.218869324886479
"Southern Sub-Saharan Africa",0.13327403318667,0.437220472777793
"Spain",-0.0846218131463935,-0.262740915272416
"Sri Lanka",-0.0649897410431525,-0.00338202223606698
"Sub-Saharan Africa",0.60937323897945,0.772202580806001
"Sudan",0.930579391603101,1.01497133347024
"Suriname",0.268604672954945,0.353342893088943
"Sweden",-0.345896189903688,-0.325296251323876
"Switzerland",0.06515543256127,-0.0271142521748174
"Syrian Arab Republic",0.261983602059898,0.197753596988702
"Taiwan (Province of China)",-0.116211832461427,0.101540260618572
"Tajikistan",0.238216369516983,0.202164490582589
"Thailand",-0.0682851436708257,0.122512495274448
"Timor-Leste",0.921496295137722,0.769587914879824
"Togo",0.609648890857737,0.526539964650479
"Tokelau",-0.0826363610535932,-0.0344566862228958
"Tonga",0.185511104076103,-0.0828118995580776
"Trinidad and Tobago",0.14596174919646,0.197450515308647
"Tropical Latin America",-0.546984168441328,-0.498253836771107
"Tunisia",0.392400468722016,0.502509738476621
"Turkey",0.861201447562252,0.338294995365704
"Turkmenistan",0.0319982750892782,-0.049496405843816
"Tuvalu",0.300447787645963,0.628963901622893
"Uganda",1.66833569641093,0.771929410666391
"Ukraine",-0.212797825798387,-0.356081293255379
"United Arab Emirates",4.99712375890252,3.9754430647319
"United Kingdom",-0.33396335027022,-0.255762048941403
"United Republic of Tanzania",0.751819080424523,0.433754823732927
"United States of America",-0.188672271437797,-0.0785302162114198
"United States Virgin Islands",-0.156261049197005,-0.168138804097555
"Uruguay",-0.0532954864929845,-0.121965151289311
"Uzbekistan",1.99915993860496,1.88924216642959
"Vanuatu",0.725704682579758,0.855656435316569
"Venezuela (Bolivarian Republic of)",0.241850685068634,0.144617468469013
"Viet Nam",0.446118127182836,0.631056200708836
"Western Europe",-0.153487006301671,-0.205122326051249
"Western Sub-Saharan Africa",0.776276677952674,0.779684560221777
"Yemen",1.98886407181474,1.78150102382083
"Zambia",1.7735213519007,1.78060568257444
"Zimbabwe",0.895671522040349,0.706602646005855
